SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHALLAGALI KISHORE KUMAR,Bharatiya Janata Party,9842,509,10351,0.82
2,K. DEVANAND,Bahujan Samaj Party,42262,318,42580,3.36
3,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,592250,6007,598257,47.24
4,MALYADRI SRIRAM,Telugu Desam,577403,4789,582192,45.97
5,J.D. SEELAM,Indian National Congress,12941,214,13155,1.04
6,KUMAR KATTEPOGU,Pyramid Party of India,877,8,885,0.07
7,GADDE HARI BABU,Navodayam Party,521,9,530,0.04
8,CHINA NAGESWARA RAO SADHU,Mundadugu Praja Party,463,3,466,0.04
9,THUMATI RAVI,All Peoples Party,368,2,370,0.03
10,NUTHAKKI RAMA RAO,All India Praja Party,600,6,606,0.05
11,GELLA NAGAMALLI,Independent,651,4,655,0.05
12,GOLLA BABURAO,Independent,1271,5,1276,0.1
13,BUSSA NAGARAJU,Independent,1943,8,1951,0.15
14,NOTA,None of the Above,13178,40,13218,1.04
,Total, ,1254570,11922,1266492,
