SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHEEMALA. RANGAPPA,Indian National Congress,24497,146,24643,1.87
2,JAYARAM DUGGANI,Bharatiya Janata Party,10137,359,10496,0.8
3,NARAMALLI SIVA PRASAD,Telugu Desam,545374,4147,549521,41.65
4,C. PUNYAMURTHY,Bahujan Samaj Party,19952,110,20062,1.52
5,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,681325,5467,686792,52.05
6,PALLIPATTU. ABHINAV VISHNU,Mundadugu Praja Party,3441,4,3445,0.26
7,P. RAMACHANDRAN,Independent,1854,9,1863,0.14
8,A. HEMANTH,Independent,2089,5,2094,0.16
9,NOTA,None of the Above,20503,53,20556,1.56
,Total, ,1309172,10300,1319472,
