SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,672834,3975,676809,50.97
2,CHINNAM RAMA KOTAYYA,Bharatiya Janata Party,8317,95,8412,0.63
3,JETTI GURUNADHA RAO,Indian National Congress,20284,94,20378,1.53
4,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,509549,1335,510884,38.47
5,CHINA VENKATA SURYANARAYANA JOSYULA,Pyramid Party of India,2932,3,2935,0.22
6,PENTAPATI PULLARAO,Janasena Party,76481,346,76827,5.79
7,MATHE. BOBBY,Republican Party of India (A),1871,8,1879,0.14
8,V. SIVA RAMA KRISHNA,Jana Jagruti Party,1261,0,1261,0.09
9,ALAGA. RAVI KUMAR,Independent,1648,0,1648,0.12
10,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),Independent,3010,0,3010,0.23
11,NOTA,None of the Above,23861,19,23880,1.8
,Total, ,1322048,5875,1327923,
