SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),Indian National Congress,26973,183,27156,2.03
2,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,699739,6863,706602,52.79
3,KRISTAPPA . NIMMALA,Telugu Desam,561602,4252,565854,42.27
4,MITTA PARTHASARATHI,Bharatiya Janata Party,13530,275,13805,1.03
5,Ram Mohan Singamneni,Pyramid Party of India,1305,8,1313,0.1
6,S.R.Anjaneyulu,Independent,1215,12,1227,0.09
7,GOGULA PULAKUNTA JAYANTH,Independent,1578,4,1582,0.12
8,Mugi Surya Prakash,Independent,1315,1,1316,0.1
9,Ramamohan D.G.,Independent,2230,1,2231,0.17
10,NOTA,None of the Above,17356,72,17428,1.3
,Total, ,1326843,11671,1338514,
