SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KONAKALLA NARAYANA RAO,Telugu Desam,508570,2725,511295,41.18
2,GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,6355,107,6462,0.52
3,GOLLU KRISHNA,Indian National Congress,12207,77,12284,0.99
4,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,566178,5258,571436,46.02
5,PERAM SIVA NAGESWARA RAO,Republican Party of India (A),3620,2,3622,0.29
6,BANDREDDI RAMAKRISHNA,Janasena Party,112416,876,113292,9.12
7,YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,1016,1,1017,0.08
8,VALLURU VENKATESWARA RAO,Pyramid Party of India,824,2,826,0.07
9,GANDHI DHANEKULA,Independent,846,0,846,0.07
10,NADAKUDITI NAGA GAYATHRI,Independent,771,2,773,0.06
11,GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,895,1,896,0.07
12,VIJAYA LAKSHMI CHALAPAKA,Independent,4766,13,4779,0.38
13,NOTA,None of the Above,14043,34,14077,1.13
,Total, ,1232507,9098,1241605,
