SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADINARAYANA INTY,Bharatiya Janata Party,8794,272,9066,0.7
2,JANGITE LAKSHMI NARASIMHA YADAV,Indian National Congress,14313,107,14420,1.11
3,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,715024,5864,720888,55.49
4,MANDRA SIVANANDA REDDY,Telugu Desam,466869,3900,470769,36.24
5,D. P. JAMAL BASHA.,Anna YSR Congress Party,3981,108,4089,0.31
6,PULA. NAGAMADDILETY,Ambedkar National Congress,931,6,937,0.07
7,D. MAHAMMAD RAFI .,B. C. United Front,645,4,649,0.05
8,RUDDIREDDY RADHAKRISHNA,All India Forward Bloc,667,6,673,0.05
9,S.P.Y. REDDY,Janasena Party,38568,303,38871,2.99
10,S. A. INDUMATHI,Independent,842,5,847,0.07
11,ELLURI. BHUPAL.,Independent,667,1,668,0.05
12,K.P. KAMBAGIRISWAMY.,Independent,765,2,767,0.06
13,JESTADI SUDHAKAR,Independent,4542,0,4542,0.35
14,I.V. PAKKIR REDDY,Independent,3103,0,3103,0.24
15,POLURU GURUVAIAH.,Independent,6099,0,6099,0.47
16,BHUMA KISHOR REDDY,Independent,4848,4,4852,0.37
17,B.C. RAMANATHA REDDY,Independent,2543,0,2543,0.2
18,Dr. LAKSHMI KANTHA REDDY CHITLA,Independent,1428,1,1429,0.11
19,VANGALA PARAMESWARA REDDY.,Independent,2380,2,2382,0.18
20,C. SURENDRA NATH REDDY,Independent,1708,0,1708,0.13
21,NOTA,None of the Above,9759,32,9791,0.75
,Total, ,1288476,10617,1299093,
