SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANNA LAKSHMI NARAYANA,Bharatiya Janata Party,15237,231,15468,1.08
2,PAKKALA SURIBABU,Indian National Congress,10976,56,11032,0.77
3,RAYAPATI SAMBASIVARAO,Telugu Desam,588900,2211,591111,41.12
4,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,740041,5048,745089,51.83
5,ALLU VENKATAREDDY,Pyramid Party of India,2892,4,2896,0.2
6,KANAKAM SRINIVASARAO,National Nava Kranthi Party,1065,4,1069,0.07
7,NAYUB KAMAL SHAIK,Janasena Party,50518,295,50813,3.53
8,SURABHI DEVASAHAYAM,Indian Union Muslim League,423,0,423,0.03
9,KANTE SAYANNA,Independent,365,1,366,0.03
10,GADDALA VENU,Independent,623,3,626,0.04
11,DURGAMPUDI RAMIREDDY,Independent,2683,1,2684,0.19
12,PARIMI NARASIMHA RAO,Independent,999,2,1001,0.07
13,REDDYBOINA PRASANNA KUMAR,Independent,1394,1,1395,0.1
14,NOTA,None of the Above,13664,38,13702,0.95
,Total, ,1429780,7895,1437675,
