SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chintamohan,Indian National Congress,23926,113,24039,1.83
2,Doctor Daggumati Sreehari Rao,Bahujan Samaj Party,20847,124,20971,1.6
3,Panabaka Lakshmi,Telugu Desam,490605,3896,494501,37.65
4,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,717924,4953,722877,55.03
5,Bommi Srihari Rao,Bharatiya Janata Party,16001,124,16125,1.23
6,Karra Siva (Pyramid Siva),Pyramid Party of India,998,5,1003,0.08
7,"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),912,1,913,0.07
8,Bokkam. Ramesh,Viduthalai Chiruthaigal Katchi,1194,1,1195,0.09
9,Viruvuru Sudhakar,Vishwa Jana Party,995,3,998,0.08
10,M. Solomon,Andhra Rastra Praja Samithi,1563,0,1563,0.12
11,Kattamanchi Prabhakar,Independent,1430,0,1430,0.11
12,K.S. Munirathnam,Independent,2117,2,2119,0.16
13,NOTA,None of the Above,25750,31,25781,1.96
,Total, ,1304262,9253,1313515,
