SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KILARU DILEEP,Bharatiya Janata Party,18411,93,18504,1.45
2,KESINENI SRINIVAS (NANI),Telugu Desam,573929,1569,575498,45.04
3,NARAHARISETTY. NARASIMHARAO.,Indian National Congress,16204,57,16261,1.27
4,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,564174,2598,566772,44.36
5,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,2457,0,2457,0.19
6,DATLA LURDU MARY,Mundadugu Praja Party,433,1,434,0.03
7,PADALA SIVA PRASAD,Navarang Congress Party,480,0,480,0.04
8,Muttamsetty Prasad babu,Janasena Party,81416,234,81650,6.39
9,SEKHAR,Pyramid Party of India,683,2,685,0.05
10,Sk. Riyaz,Indian Union Muslim League,412,0,412,0.03
11,ANIL KUMAR MADDINENI,Independent,1049,0,1049,0.08
12,DHANEKULA GANDHI,Independent,687,1,688,0.05
13,NANDINI NALLAGHATLA,Independent,951,2,953,0.07
14,BOLISETTY HARI BABU,Independent,1739,0,1739,0.14
15,MOHAMMAD ISHAQ,Independent,1218,0,1218,0.1
16,NOTA,None of the Above,8889,22,8911,0.7
,Total, ,1273132,4579,1277711,
