SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DAGGUBATI PURANDESWARI,Bharatiya Janata Party,33430,462,33892,2.73
2,PEDADA. RAMANIKUMARI,Indian National Congress,14550,83,14633,1.18
3,BHARAT MATHUKUMILLI,Telugu Desam,431093,1399,432492,34.89
4,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,433968,2938,436906,35.24
5,GEORGE BANGARI,Viduthalai Chiruthaigal Katchi,3027,1,3028,0.24
6,B. JAYA VENU GOPAL,Pyramid Party of India,1622,5,1627,0.13
7,V.V. LAKSHMI NARAYANA,Janasena Party,287072,1802,288874,23.3
8,ANMISH VARMA,Independent,1904,11,1915,0.15
9,R. UDAYA GOWRI,Independent,1384,0,1384,0.11
10,KOTHAPALLI GEETHA,Independent,1155,3,1158,0.09
11,GAMPALA SOMASUNDARAM,Independent,1127,1,1128,0.09
12,GANNU MALLAYYA,Independent,1311,2,1313,0.11
13,DURGAPRASAD. GUNTU,Independent,2463,1,2464,0.2
14,PULAPAKA RAJA SEKHAR,Independent,2294,0,2294,0.19
15,NOTA,None of the Above,16626,20,16646,1.34
,Total, ,1233026,6728,1239754,
