SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANAK GOGOI,Communist Party of India,17759,90,17849,1.69
2,TOPON KUMAR GOGOI,Bharatiya Janata Party,540942,2346,543288,51.35
3,RIBULAYA GOGOI,All India Trinamool Congress,6058,63,6121,0.58
4,SUSHANTA BORGOHAIN,Indian National Congress,459480,1155,460635,43.54
5,KAMALA RAJ KONWAR,National People's Party,4989,7,4996,0.47
6,RAJ KUMAR DUWARA,All India Forward Bloc,3431,7,3438,0.32
7,ARBIN KUMAR BORUAH,Independent,3577,11,3588,0.34
8,NANDITA NAG,Independent,5467,14,5481,0.52
9,NOTA,None of the Above,12536,33,12569,1.19
,Total, ,1054239,3726,1057965,
