SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Pramila Rani Brahma,Bodoland Peoples Front,443410,3364,446774,30.2
2,Biraj Deka,Communist Party of India (Marxist),27804,324,28128,1.9
3,Sabda Ram Rabha,Indian National Congress,146251,867,147118,9.94
4,Urkhao Gwra Brahma,"United People’s Party, Liberal",309736,2699,312435,21.12
5,Charan Iswary,Purvanchal Janta Party (Secular),9519,308,9827,0.66
6,Rajesh Narzary,Voters Party International,13866,42,13908,0.94
7,Naba Kumar Sarania,Independent,482556,2004,484560,32.75
8,Prasanjit Kumar Das,Independent,9822,137,9959,0.67
9,Ranjoy Kr. Brahma,Independent,10733,55,10788,0.73
10,NOTA,None of the Above,15867,121,15988,1.08
,Total, ,1469564,9921,1479485,
