SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANIL BORGOHAIN,Indian National Congress,425002,853,425855,33.18
2,ANUP PRATIM BORBARUAH,Nationalist Congress Party,4463,64,4527,0.35
3,AMIYA KUMAR HANDIQUE,Communist Party of India (Marxist),12746,63,12809,1
4,ARUP KALITA,Communist Party of India,13357,21,13378,1.04
5,PRADAN BARUAH,Bharatiya Janata Party,774017,2389,776406,60.49
6,UBAIDUR RAHMAN,Asom Jana Morcha,8738,0,8738,0.68
7,DILIP MORAN,Assam Dristi Party,8196,89,8285,0.65
8,BHUPEN NARAH,Voters Party International,5566,15,5581,0.43
9,HEM KANTA MIRI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4009,25,4034,0.31
10,AMBAZ UDDIN,Independent,3889,1,3890,0.3
11,PROBHU LAL VAISNAVA,Independent,4858,8,4866,0.38
12,NOTA,None of the Above,15187,33,15220,1.19
,Total, ,1280028,3561,1283589,
