SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NARESH YADAV,Bahujan Samaj Party,33958,75,34033,3.61
2,SUSHIL KUMAR SINGH,Bharatiya Janata Party,429936,1605,431541,45.83
3,AVINASH KUMAR,Peoples Party of India (Democratic),13753,12,13765,1.46
4,UPENDRA PRASAD,Hindustani Awam Morcha (Secular),358611,323,358934,38.12
5,DR DHARMENDRA KUMAR,Akhil Hind Forward Bloc (Krantikari),16678,5,16683,1.77
6,SOM PRAKASH,Swaraj Party (Loktantrik),11775,4,11779,1.25
7,DHIRENDRA KUMAR SINGH,Independent,25024,6,25030,2.66
8,YOGENDRA RAM,Independent,12052,8,12060,1.28
9,SANTOSH KUMAR SINHA,Independent,15134,4,15138,1.61
10,NOTA,None of the Above,22605,27,22632,2.4
,Total, ,939526,2069,941595,
