SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIRIDHARI YADAV,Janata Dal (United),476948,840,477788,47.98
2,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,276856,400,277256,27.84
3,MD RAFIQUE ALAM,Bahujan Samaj Party,11931,29,11960,1.2
4,KAILASH PRASAD SINGH,Pragatishil Samajwadi Party (Lohia),2570,12,2582,0.26
5,NEELU DEVI,Bhartiya Dalit Party,2282,49,2331,0.23
6,PHESAL ANSARI,Bharatiya Momin Front,2128,3,2131,0.21
7,RAJKISHORE PRASAD ALIAS PAPPU YADAV,Jharkhand Mukti Morcha,3933,5,3938,0.4
8,AMARJEET KUMAR,Independent,3660,13,3673,0.37
9,UMAKANT YADAV,Independent,1886,3,1889,0.19
10,MP YADAV,Independent,1877,1,1878,0.19
11,NARESH YADAV,Independent,2759,2,2761,0.28
12,PAWAN THAKUR,Independent,4082,2,4084,0.41
13,PUTUL KUMARI,Independent,103448,281,103729,10.42
14,PRAMOD SINGH WELDONE,Independent,7361,1,7362,0.74
15,PRAVIN KUMAR JHA,Independent,17021,4,17025,1.71
16,MANOJ KUMAR SAH,Independent,44394,4,44398,4.46
17,MRITUNJAY ROY,Independent,14228,1,14229,1.43
18,MOHAMMAD MUKHTAR ALAM,Independent,5786,0,5786,0.58
19,SANJIV KUMAR KUNAL,Independent,2381,1,2382,0.24
20,SYED ALAMDAR HUSSAIN,Independent,1998,1,1999,0.2
21,NOTA,None of the Above,6591,34,6625,0.67
,Total, ,994120,1686,995806,
