SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kanhaiya Kumar,Communist Party of India,267917,2059,269976,22.03
2,Giriraj Singh,Bharatiya Janata Party,687577,4616,692193,56.48
3,Mo. Tanweer Hassan,Rashtriya Janata Dal,196800,1433,198233,16.17
4,Umesh Patel,Shoshit Samaj Dal,4165,7,4172,0.34
5,Gaurav Kumar,Bhartiya Lokmat Rashtrwadi Party,1881,5,1886,0.15
6,Maksudan Paswan,Bahujan Mukti Party,3180,14,3194,0.26
7,Amar Kumar,Independent,2558,2,2560,0.21
8,Dhiraj Narain,Independent,4277,1,4278,0.35
9,Shambhu Kumar Singh,Independent,10017,2,10019,0.82
10,Saurabh,Independent,18636,2,18638,1.52
11,NOTA,None of the Above,20408,37,20445,1.67
,Total, ,1217416,8178,1225594,
