SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJAY KUMAR MANDAL,Janata Dal (United),616724,1530,618254,59.3
2,MOHAMMAD ASHIQ IBRAHIMI,Bahujan Samaj Party,9489,83,9572,0.92
3,SHAILESH KUMAR ALIAS VULO MANDAL,Rashtriya Janata Dal,339999,625,340624,32.67
4,DEEPAK KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7380,16,7396,0.71
5,SATYENDRA KUMAR,Aam Aadmi Party,7270,46,7316,0.7
6,SUSHIL KUMAR DAS,Bhartiya Dalit Party,4722,42,4764,0.46
7,ABHISHEK PRIYADARSHI,Independent,5530,25,5555,0.53
8,NURULLAH,Independent,9615,5,9620,0.92
9,SUNIL KUMAR,Independent,7839,11,7850,0.75
10,NOTA,None of the Above,31528,39,31567,3.03
,Total, ,1040096,2422,1042518,
