SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ashwini Kumar Choubey,Bharatiya Janata Party,468690,4363,473053,47.94
2,Jagadanand Singh,Rashtriya Janata Dal,353627,1817,355444,36.02
3,Sushil Kumar Singh,Bahujan Samaj Party,80031,230,80261,8.13
4,Anil Kumar,Jantantrik Vikas Party,9740,16,9756,0.99
5,Anil Kumar Rai,Rashtriya Dal United,1897,10,1907,0.19
6,Uday Narayan Rai @ Luddu Rajbhar,Suheldev Bharatiya Samaj Party,14163,7,14170,1.44
7,Dhanjit Singh @ Dhanjit Kumar,Voters Party International,4166,5,4171,0.42
8,Ravi Raj,Pragatishil Samajwadi Party (Lohia),1768,10,1778,0.18
9,Binod Kumar Bikrant,Peoples Party of India (Democratic),1614,3,1617,0.16
10,Santosh Kumar Yadav,Bahujan Mukti Party,2224,12,2236,0.23
11,Arvind Kumar Pandey @ Chote Baba,Independent,2348,3,2351,0.24
12,Jay Prakash Ram,Independent,2222,11,2233,0.23
13,Ranjit Singh @ Ranage,Independent,3901,4,3905,0.4
14,Rakesh Kumar Ray @ Guddu Ray,Independent,6800,2,6802,0.69
15,Ramchandra Singh Yadav,Independent,10721,9,10730,1.09
16,NOTA,None of the Above,16379,68,16447,1.67
,Total, ,980291,6570,986861,
