SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Abdul Bari Siddiqui,Rashtriya Janata Dal,317485,1204,318689,33.02
2,Gopal Jee Thakur,Bharatiya Janata Party,585013,1655,586668,60.79
3,MD. MUKHTAR,Bahujan Samaj Party,11243,12,11255,1.17
4,Saroj Kumar Chaudhary,Mithilanchal Mukti Morcha,4410,3,4413,0.46
5,Abdul Aziz,Independent,2562,2,2564,0.27
6,PANKAJ KUMAR SINGH,Independent,2767,2,2769,0.29
7,SANJAY PASWAN,Independent,4390,6,4396,0.46
8,SAGUNI RAY,Independent,13768,6,13774,1.43
9,NOTA,None of the Above,20444,24,20468,2.12
,Total, ,962082,2914,964996,
