SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Din Dayal Bharti alias Kapil Chaudhri,Nationalist Congress Party,8434,82,8516,0.89
2,Dilip Kumar,Bahujan Samaj Party,12953,78,13031,1.36
3,Vijay Kumar,Janata Dal (United),465748,1259,467007,48.79
4,Umesh Rajak,Peoples Party of India (Democratic),10391,7,10398,1.09
5,Giridhar Sapera,Bharatiya Rashtriya Morcha,7917,27,7944,0.83
6,Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),313984,597,314581,32.86
7,Dayanand Rajwanshi,Moolniwasi Samaj Party,14552,1,14553,1.52
8,Prakash Chandra,Public Mission Party,11161,4,11165,1.17
9,Rakesh Chaudhari,Moulik Adhikar Party,14528,4,14532,1.52
10,Rajesh Kumar Paswan,Aam Janta Party Rashtriya,11653,18,11671,1.22
11,Vijay Kumar Chaudhary,Janta Dal Rashtravadi,23448,14,23462,2.45
12,Sheo Shankar,Ambedkarite Party of India,20459,5,20464,2.14
13,Sunil Paswan,Bharat Bhrashtachar Mitao Party,9886,8,9894,1.03
14,NOTA,None of the Above,29988,42,30030,3.14
,Total, ,955102,2146,957248,
