SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,UMESH DAS,Bahujan Samaj Party,14424,155,14579,1.45
2,DASAI CHAUDHARY,Nationalist Congress Party,4704,171,4875,0.48
3,PASHU PATI KUMAR PARAS,Lok Jan Shakti Party,539665,1645,541310,53.76
4,SHIV CHANDRA RAM,Rashtriya Janata Dal,335283,578,335861,33.36
5,KUMARI AASHIKI,Sathi Aur Aapka Faisala Party,6776,25,6801,0.68
6,JIBAS PASWAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3441,12,3453,0.34
7,BALENDRA DAS,Jai Prakash Janata Dal,5580,9,5589,0.56
8,RAJGIR PASWAN,Bajjikanchal Vikas Party,11195,4,11199,1.11
9,ARVIND PASWAN,Independent,18324,22,18346,1.82
10,RAJ KR. PASWAN,Independent,30784,13,30797,3.06
11,SHIWANI KANT,Independent,8716,35,8751,0.87
12,NOTA,None of the Above,25194,62,25256,2.51
,Total, ,1004086,2731,1006817,
