SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHANDESHWAR PRASAD,Janata Dal (United),333191,2393,335584,40.82
2,NITYA NAND SINGH,Bahujan Samaj Party,19024,187,19211,2.34
3,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,332116,1717,333833,40.61
4,ARBIND KUMAR,Rajnaitik Vikalp Party,9096,13,9109,1.11
5,ARUN KUMAR,Rashtriya Samta Party (Secular),34088,470,34558,4.2
6,AVINASH KUMAR,Bharatiya Bahujan Congress,2544,54,2598,0.32
7,UMA SHANKAR VERMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3300,23,3323,0.4
8,KUNTI DEVI,Communist Party of India (Marxist-Leninist) (Liberation),26285,40,26325,3.2
9,MEERA KUMARI YADAV,Shoshit Samaj Dal,4316,21,4337,0.53
10,RAJENDRA PASWAN,Lok Jan Vikas Morcha,3283,17,3300,0.4
11,RAMJEE KEWAT,Rashtriya mahan Gantantra Party,4999,6,5005,0.61
12,SUNIL KUMAR,Peoples Party of India (Democratic),9444,0,9444,1.15
13,CHANDRA PRAKASH,Independent,7714,41,7755,0.94
14,NOTA,None of the Above,27574,109,27683,3.37
,Total, ,816974,5091,822065,
