SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,UPENDRA RAVIDAS,Bahujan Samaj Party,31504,107,31611,3.33
2,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,527860,1274,529134,55.75
3,BHUDEO CHOUDHARY,Rashtriya Lok Samta Party,287805,280,288085,30.35
4,AJAY KUMAR,Bhartiya Dalit Party,8217,64,8281,0.87
5,PANKAJ KUMAR DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3996,8,4004,0.42
6,VALAMIKI PASAVAN,Hindusthan Nirman Dal,6551,3,6554,0.69
7,VISHNU PRIYA,Bahujan Mukti Party,10598,27,10625,1.12
8,VIRENDRA KUMAR,Independent,14611,17,14628,1.54
9,SUBHASH PASWAN,Independent,16714,5,16719,1.76
10,NOTA,None of the Above,39450,46,39496,4.16
,Total, ,947306,1831,949137,
