SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GULAB YADAV,Rashtriya Janata Dal,279168,272,279440,26.35
2,Raj Kumar Singh,Bahujan Samaj Party,9026,40,9066,0.85
3,Ramprit Mandal,Janata Dal (United),601597,794,602391,56.8
4,Ganga Prasad Yadav,Peoples Party of India (Democratic),8894,6,8900,0.84
5,Chhedi Ram,Bhartiya Mitra Party,3923,17,3940,0.37
6,Devendra Prasad Yadav,Samajwadi Janata Dal Democratic,25586,44,25630,2.42
7,Prabhat Prasad,Suheldev Bharatiya Samaj Party,8426,3,8429,0.79
8,Ratneshwar Jha,Aadarsh Mithila Party,3533,15,3548,0.33
9,Ramanand Thakur,Shivsena,4405,41,4446,0.42
10,Ramesh kumar Kamat,Aam Adhikar Morcha,4784,8,4792,0.45
11,Lakshman Prasad Yadav,Republican Party of India (A),5712,5,5717,0.54
12,Surendra Prasad Suman,All India Forward Bloc,4959,5,4964,0.47
13,Om Prakash Poddar,Independent,21987,1,21988,2.07
14,Ganpati Jha,Independent,21625,7,21632,2.04
15,Bablu Gupta,Independent,6902,6,6908,0.65
16,Bipeen Kumar Singhwait,Independent,29504,2,29506,2.78
17,Sanjay Bhartia,Independent,10060,2,10062,0.95
18,NOTA,None of the Above,9161,42,9203,0.87
,Total, ,1059252,1310,1060562,
