SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,312269,1597,313866,36.13
2,MAHABALI SINGH,Janata Dal (United),396282,2126,398408,45.86
3,RAJ NARAYAN TIWARI,Bahujan Samaj Party,21587,128,21715,2.5
4,ARIF ISAIN HUSAIN,Janta Dal Rashtravadi,2461,37,2498,0.29
5,USHA SHARAN,Shoshit Samaj Dal,2988,15,3003,0.35
6,KAMLESH RAM (PRASAD),Suheldev Bharatiya Samaj Party,1699,14,1713,0.2
7,GORAKH RAM,Voters Party International,2076,3,2079,0.24
8,GHANSHYAM TIWARI,Samajwadi Party,2853,28,2881,0.33
9,JYOTI RASHMI,Rashtra Sewa Dal,8332,49,8381,0.96
10,NAND KISHOR YADAV,Swaraj Party (Loktantrik),3402,17,3419,0.39
11,PRITHVI NATH PRASAD,Asli Deshi Party,1691,4,1695,0.2
12,PRAKASH CHANDRA GOYAL,Peoples Party of India (Democratic),2217,2,2219,0.26
13,PRADEEP CHOUHAN,Bihar Lok Nirman Dal,2844,0,2844,0.33
14,MANOJ SINGH KUSHVAHA,Jai Prakash Janata Dal,3975,9,3984,0.46
15,MAMTA PANDEY,Rashtriya Samta Party (Secular),8821,30,8851,1.02
16,MOHAMMAD ATAHAR HUSAIN,Ambedkar National Congress,12416,15,12431,1.43
17,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),24892,40,24932,2.87
18,RAMJEE SINGH KANTA,Akhil Hind Forward Bloc (Krantikari),6660,3,6663,0.77
19,SHASHIKANT SINGH,Bharatiya Momin Front,1964,8,1972,0.23
20,ABHIRAM PRIYADARSHI,Independent,1069,5,1074,0.12
21,KUMAR SAURABH,Independent,2431,19,2450,0.28
22,DHARMENDRA SINGH,Independent,1283,3,1286,0.15
23,NEELAM KUMARI,Independent,4599,6,4605,0.53
24,PUNAM DEVI,Independent,1332,27,1359,0.16
25,RAM AYODHYA SINGH,Independent,1471,1,1472,0.17
26,RAMESHWAR SINGH,Independent,4100,3,4103,0.47
27,BASUDEO HAZARIKA,Independent,6791,0,6791,0.78
28,NOTA,None of the Above,22002,102,22104,2.54
,Total, ,864507,4291,868798,
