SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,509138,1055,510193,52.77
2,Ramakant Chaudhari,Bahujan Samaj Party,7984,106,8090,0.84
3,Upendra Sahani,Rashtriya Jansambhavna Party,5933,67,6000,0.62
4,Umesh Chandra Bharti,Aadarsh Mithila Party,7753,10,7763,0.8
5,Tej Bahadur Singh,Proutist Sarva Samaj,2821,9,2830,0.29
6,Dhirendra Chaudhary,Aam Adhikar Morcha,10744,3,10747,1.11
7,Madhuvala Devi,Aam Janta Party Rashtriya,8216,37,8253,0.85
8,Mukesh Sahani,Vikassheel Insaan Party,261409,214,261623,27.06
9,Moni Kumar,Bahujan Mukti Party,16686,6,16692,1.73
10,Vinay Kumar Varun,Janhit Kisan Party,5073,16,5089,0.53
11,Sandeep Kumar Saket,Shivsena,3821,86,3907,0.4
12,Sunil Yadav,Garib Janshakti Party,5918,9,5927,0.61
13,Kundan Kumar,Independent,4483,10,4493,0.46
14,Nagendra Singh Tyagi,Independent,16073,24,16097,1.66
15,Parmanand Singh,Independent,6619,9,6628,0.69
16,Priadarshi Dinkar,Independent,51847,0,51847,5.36
17,Bandan Kumar Singh,Independent,20445,4,20449,2.12
18,Shiv Narayan Singh,Independent,1953,1,1954,0.2
19,Shobha Devi,Independent,4097,11,4108,0.42
20,Sangram Kumar Sada,Independent,6527,0,6527,0.68
21,NOTA,None of the Above,7572,24,7596,0.79
,Total, ,965112,1701,966813,
