SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dinesh Chandra Yadav,Janata Dal (United),623460,874,624334,54.42
2,Sharad Yadav,Rashtriya Janata Dal,322410,397,322807,28.14
3,Anil Bharti,Rashtravadi Janata Party,7127,42,7169,0.62
4,Umashankar,Bahujan Mukti Party,3094,10,3104,0.27
5,Manoj Kumar Mandal,Aam Adhikar Morcha,2556,9,2565,0.22
6,Rajiv Kumar Yadav,Baliraja Party,4731,4,4735,0.41
7,Rajesh Ranjan @ Pappu Yadav,Jan Adhikar Party (Loktantrik),97466,165,97631,8.51
8,Suresh Kumar Bharti,Asli Deshi Party,4728,3,4731,0.41
9,Md. Arshad Husain,Independent,3805,2,3807,0.33
10,Jaykant Yadav,Independent,8752,3,8755,0.76
11,Rajo Sah,Independent,5628,3,5631,0.49
12,Vinay Kumar Mishra,Independent,5964,7,5971,0.52
13,Suman Kumar Jha,Independent,17573,11,17584,1.53
14,NOTA,None of the Above,38429,21,38450,3.35
,Total, ,1145723,1551,1147274,
