SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ajay Nishad,Bharatiya Janata Party,664074,2804,666878,63.03
2,Swarnlata Devi,Bahujan Samaj Party,9010,85,9095,0.86
3,Anirudh Singh,All India Forward Bloc,2536,7,2543,0.24
4,Jauhar Azad,Bahujan Mukti Party,4614,22,4636,0.44
5,Devendra Rakesh,Bajjikanchal Vikas Party,7702,7,7709,0.73
6,Dharmendra Paswan,Bharatiya Momin Front,3317,6,3323,0.31
7,Nandan Kumar,Janata Party,2564,8,2572,0.24
8,Nageshwar Prasad Singh,Rashtriya Rashtrawadi Party,3190,5,3195,0.3
9,Pankaj Kumar,Aap Aur Hum Party,3424,10,3434,0.32
10,Pradeep Kumar Singh,Shivsena,4316,5,4321,0.41
11,Mohamad Idris,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6107,9,6116,0.58
12,Raj Bhushan Choudhary,Vikassheel Insaan Party,255837,1053,256890,24.28
13,Renu Khari,Jan Adhikar Party,7991,4,7995,0.76
14,Shiv shakti Monu,Bihar Lok Nirman Dal,8233,3,8236,0.78
15,Shiva Bihari Singhania,Bharat Nirman Party,5672,2,5674,0.54
16,Sukhdeo Prasad,Voters Party International,24525,1,24526,2.32
17,Sudhir Kumar Jha,Yuva Krantikari Party,15838,5,15843,1.5
18,Surendra Ray,Rashtriya Hind Sena,7255,3,7258,0.69
19,Ajitansh Gaur,Independent,2620,1,2621,0.25
20,Mukesh Kumar,Independent,1582,7,1589,0.15
21,Ritesh Prasad,Independent,2142,5,2147,0.2
22,Suresh Kumar,Independent,2310,4,2314,0.22
23,NOTA,None of the Above,9105,66,9171,0.87
,Total, ,1053964,4122,1058086,
