SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kaushlendra Kumar,Janata Dal (United),539183,1705,540888,52.45
2,Shashi Kumar,Bahujan Samaj Party,12612,63,12675,1.23
3,Shashi Kumar,Nationalist Congress Party,2965,118,3083,0.3
4,Anil Kumar,Bharatiya Jan Kranti Dal (Democratic),8057,29,8086,0.78
5,Ashok Kumar Azad,Hindustani Awam Morcha (Secular),284587,164,284751,27.61
6,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,6182,5,6187,0.6
7,Chiranjib Kumar,Shivsena,5468,52,5520,0.54
8,Dilip Rawat,Maanavvaadi Janta Party,2964,2,2966,0.29
9,Dinanath Pandey,Independent,2226,5,2231,0.22
10,Pawan Kumar Pandey,Bhartiya Lokmat Rashtrwadi Party,2312,10,2322,0.23
11,Purushotam Sharma,National Jagaran Party,4442,2,4444,0.43
12,Brahamdev Prasad,Shoshit Samaj Dal,16346,0,16346,1.59
13,Rajeev Ranjan Kumar,Jan Adhikar Party,5961,1,5962,0.58
14,Ram Charitra Prasad Singh,Hindusthan Nirman Dal,4412,0,4412,0.43
15,Ramchandra Prasad,Samagra Utthan Party,6513,1,6514,0.63
16,Ramvilaf Paswan,Rashtriya Hind Sena,21268,8,21276,2.06
17,Rekha Kumari,Purvanchal Mahapanchayat,9140,10,9150,0.89
18,Shankar Pandey,Bahujan Nyay Dal,4767,1,4768,0.46
19,Sanjeet Kumar,Jantantrik Vikas Party,3665,3,3668,0.36
20,Sampati Kumar,Suheldev Bharatiya Samaj Party,4433,1,4434,0.43
21,Sunil Ravidas,Republican Party of India,6426,2,6428,0.62
22,Surendra Singh,Bharat Prabhat Party,2972,1,2973,0.29
23,Sohavan Paswan,Public Mission Party,2073,0,2073,0.2
24,Ashok Kumar,Independent,10134,3,10137,0.98
25,Usha Devi,Independent,3378,3,3381,0.33
26,Nita Devi,Independent,2397,2,2399,0.23
27,Punit Kumar,Independent,5052,6,5058,0.49
28,Mintu Kumar,Independent,6321,4,6325,0.61
29,Mohan Bind,Independent,3472,2,3474,0.34
30,Mohammad Surkhab Alam,Independent,2215,1,2216,0.21
31,Rajnish Kumar Paswan,Independent,2602,0,2602,0.25
32,Rakesh Paswan,Independent,11960,4,11964,1.16
33,Ramchandra Singh,Independent,9073,2,9075,0.88
34,Shailendra Chaudhari,Independent,2170,1,2171,0.21
35,Sudhir Kumar,Independent,2901,0,2901,0.28
36,NOTA,None of the Above,8372,54,8426,0.82
,Total, ,1029021,2265,1031286,
