SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BRIJESH KUMAR KUSHWAHA,Rashtriya Lok Samta Party,307964,1836,309800,30.58
2,RAKESH KUMAR,Bahujan Samaj Party,11286,141,11427,1.13
3,DR. SANJAY JAISWAL,Bharatiya Janata Party,600735,2971,603706,59.6
4,BIPIN NATH TIWARI ALIAS BIPIN TIWARI,Loktantrik Jan Swaraj Party,9863,5,9868,0.97
5,AJAY KUMAR SINHA,Independent,3216,8,3224,0.32
6,NAFISH AHMAD,Independent,5477,20,5497,0.54
7,RATAN KUMAR SARKAR,Independent,4229,1,4230,0.42
8,VIKAS KUMAR PRASAD,Independent,8682,2,8684,0.86
9,SANJAY KUMAR PATEL,Independent,10794,7,10801,1.07
10,NOTA,None of the Above,45637,62,45699,4.51
,Total, ,1007883,5053,1012936,
