SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MD. KALIMULLAH,Bahujan Samaj Party,13980,65,14045,1.3
2,MISHA BHARTI,Rashtriya Janata Dal,468873,1363,470236,43.63
3,RAM KRIPAL YADAV,Bharatiya Janata Party,506557,3000,509557,47.28
4,INDU DEVI MISHRA,Bharatiya Jan Kranti Dal (Democratic),6291,4,6295,0.58
5,MD. TAUFIQUE AHMAD,Voters Party International,3852,5,3857,0.36
6,DURGESH NANDAN SINGH alias DURGESH YADAV,Rashtriya Janvikas Party (Democratic),1413,1,1414,0.13
7,Nagmani,Shivsena,1783,7,1790,0.17
8,VINOD DAS,Bharatiya Bahujan Congress,1766,19,1785,0.17
9,BINDU DEVI,Rashtriya Jansambhavna Party,2794,1,2795,0.26
10,RAM NARAYAN MANJHI,Sankhyanupati Bhagidari Party,1945,0,1945,0.18
11,RAM NIRANJAN ROY,Rashtrawadi Chetna Party,1975,0,1975,0.18
12,RAM PRAVESH RAJAK,Peoples Party of India (Democratic),2126,3,2129,0.2
13,LALITA RAY,Bahujan Nyay Dal,3551,5,3556,0.33
14,WAKIL AHMAD,Janata Party,7640,6,7646,0.71
15,SHIV KUMAR SINGH,Apna Kisan Party,8353,1,8354,0.78
16,SHAILESH KUMAR,Bharatiya Aam Awam Party,9627,1,9628,0.89
17,SATISH KUMAR,Bharatiya Momin Front,3145,0,3145,0.29
18,SOHAN RAY,Yuva Krantikari Party,5809,1,5810,0.54
19,JITENDRA BIND,Independent,4869,1,4870,0.45
20,PUPUL KUMAR SHARMA,Independent,1280,3,1283,0.12
21,BRAJESHWAR PRASAD SINGH,Independent,950,1,951,0.09
22,MANTU KUMAR,Independent,770,0,770,0.07
23,RAMESH KUMAR SHARMA,Independent,1556,2,1558,0.14
24,RAJESH KUMAR,Independent,2982,4,2986,0.28
25,SURESH PASWAN,Independent,2791,2,2793,0.26
26,NOTA,None of the Above,6497,79,6576,0.61
,Total, ,1073175,4574,1077749,
