SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Ashok Kumar,Indian National Congress,310016,784,310800,30.5
2,Mantesh Kumar,Bahujan Samaj Party,11681,37,11718,1.15
3,Ramchandra Paswan,Lok Jan Shakti Party,561460,983,562443,55.19
4,Asha Devi,Aam Adhikar Morcha,14099,15,14114,1.39
5,Pinku Paswan,Yuva Krantikari Party,6304,5,6309,0.62
6,Ratan Bihari,Jan Adhikar Party,5138,4,5142,0.5
7,Raj Kumar Ram,Bharatiya Momin Front,5517,7,5524,0.54
8,Lalo Paswan,Voters Party International,5466,1,5467,0.54
9,Vijay Kumar Ram,Vanchit Samaj Party,10510,2,10512,1.03
10,Vidya Nand Ram,Wazib Adhikar Party,29392,0,29392,2.88
11,Suraj Kumar Das,Independent,22170,17,22187,2.18
12,NOTA,None of the Above,35380,37,35417,3.48
,Total, ,1017133,1892,1019025,
