SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chandrika Roy,Rashtriya Janata Dal,360461,452,360913,38.33
2,Rajiv Pratap Rudy,Bharatiya Janata Party,496992,2350,499342,53.03
3,Sheojee Ram,Bahujan Samaj Party,15196,53,15249,1.62
4,Ishteyaque Ahmad,Yuva Krantikari Party,2522,4,2526,0.27
5,Juned Khan,Bhartiya Insan Party,1604,9,1613,0.17
6,Dharamveer Kumar,Bihar Lok Nirman Dal,1498,15,1513,0.16
7,Bhisham Kumar Ray,Purvanchal Mahapanchayat,1928,3,1931,0.21
8,Raj Kishore Prasad,Vanchit Samaj Party,2027,2,2029,0.22
9,Prabhat Kumar Giri,Independent,2598,13,2611,0.28
10,Raj Kumar Rai (Yadav),Independent,4837,3,4840,0.51
11,Lalu Prasad Yadav,Independent,6201,4,6205,0.66
12,Shiv Brat Singh,Independent,14617,0,14617,1.55
13,NOTA,None of the Above,28227,40,28267,3
,Total, ,938708,2948,941656,
