SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Mukesh Kumar Jha,Bahujan Samaj Party,12417,53,12470,1.24
2,RAMA DEVI,Bharatiya Janata Party,606581,2097,608678,60.59
3,Shamim Alam,Nationalist Congress Party,13239,30,13269,1.32
4,SYED FAISAL ALI,Rashtriya Janata Dal,266870,1448,268318,26.71
5,Anil Kumar,Jan Adhikar Party,5774,5,5779,0.58
6,Anand Kumar Maurya,Bahujan Azad Party,1813,1,1814,0.18
7,UPENDRA SAHANI,Rashtriya Jansambhavna Party,7278,3,7281,0.72
8,Jagdish Prasad,Bajjikanchal Vikas Party,4562,1,4563,0.45
9,Devendra Prasad Singh,All India Forward Bloc,2631,9,2640,0.26
10,Nabi Hussain,Bharat Prabhat Party,1990,2,1992,0.2
11,PRABHU NARAYAN,Shivsena,2496,3,2499,0.25
12,SHYAM KUMAR,Rashtriya Hind Sena,5065,1,5066,0.5
13,Anil Kumar Tiwari,Independent,10678,1,10679,1.06
14,Abul Kalam Khan,Independent,6083,1,6084,0.61
15,Kedar Nath Prasad,Independent,18425,1,18426,1.83
16,Raj Kumar Parsad,Independent,13701,3,13704,1.36
17,Ram Dayal Prasad,Independent,3140,2,3142,0.31
18,Vijay Nandan Paswan,Independent,11127,11,11138,1.11
19,NOTA,None of the Above,6971,46,7017,0.7
,Total, ,1000841,3718,1004559,
