SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Arjun Ray,Rashtriya Janata Dal,315230,1976,317206,30.53
2,Jasem Ahamad,Bahujan Samaj Party,7062,50,7112,0.68
3,Sunil Kumar Pintu,Janata Dal (United),565533,2212,567745,54.65
4,Braj Kishor,All India Forward Bloc,6305,2,6307,0.61
5,Mohan Sah,Kisan Party of India,3046,18,3064,0.29
6,Raghunath Kumar,Aam Aadmi Party,8947,62,9009,0.87
7,Ravindra Kumar Chandra urf Dr. Raja Babu,Bhartiya Mitra Party,2464,11,2475,0.24
8,Raj Kishore Prasad,"Proutist Bloc, India",5963,2,5965,0.57
9,Surendra Kumar,Bajjikanchal Vikas Party,4233,7,4240,0.41
10,Amit Chaudhary urf Madhav Chaudhary,Independent,9749,88,9837,0.95
11,Chandrika Prasad,Independent,2662,1,2663,0.26
12,Dr. Junaid Khan,Independent,3298,0,3298,0.32
13,Thakur Chandan Kumar Singh,Independent,7285,2,7287,0.7
14,Dharmendra Kumar,Independent,20485,2,20487,1.97
15,Nand Kishore Gupta,Independent,6587,1,6588,0.63
16,Mahesh Nandan Singh,Independent,17270,0,17270,1.66
17,Ramesh Kumar Mishra,Independent,11054,2,11056,1.06
18,Lalbabu Paswan,Independent,5189,3,5192,0.5
19,Vinod Sah,Independent,17724,0,17724,1.71
20,Shashi Kumar Singh,Independent,4003,3,4006,0.39
21,NOTA,None of the Above,10278,40,10318,0.99
,Total, ,1034367,4482,1038849,
