SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kiran Devi,Bahujan Samaj Party,11079,29,11108,1
2,Dileshwar Kamait,Janata Dal (United),596807,570,597377,53.78
3,Ranjeet Ranjan,Indian National Congress,330258,266,330524,29.76
4,Md. Abul Kalam Azad,Jai Hind Party,13693,0,13693,1.23
5,Krishan dev Mandal,Rashtravadi Janata Party,3534,18,3552,0.32
6,Dip Narayan Mandal,Shivsena,2742,33,2775,0.25
7,Naveen Kumar Singh,Bihar Lok Nirman Dal,3010,0,3010,0.27
8,Pramod Kumar Nirala,Vanchit Samaj Party,4042,1,4043,0.36
9,Bhim Kumar Gupta,Jammu & Kashmir National Panthers Party,3545,0,3545,0.32
10,Sanjay Sardar,Lok Sewa Dal,6313,0,6313,0.57
11,Sanjeet Kumar Choudhary,Aam Janta Party Rashtriya,11091,2,11093,1
12,Satya Narayan Mehta,Jan Adhikar Party,6333,3,6336,0.57
13,Md. Afroj Alam,Independent,6995,2,6997,0.63
14,Anand Pathak,Independent,15389,3,15392,1.39
15,Dinesh Prasad Yadav,Independent,23033,12,23045,2.07
16,Binod Kumar Sahu,Independent,19277,0,19277,1.74
17,Rajesh Kumar S/O- Jawahar Lal Das,Independent,6729,0,6729,0.61
18,Rajesh Kumar S/O- Yugeshwar Sah,Independent,20317,3,20320,1.83
19,Sandip Kumar Singh,Independent,11534,0,11534,1.04
20,Sudhakar Jha,Independent,4797,2,4799,0.43
21,NOTA,None of the Above,9322,21,9343,0.84
,Total, ,1109840,965,1110805,
