SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ajay Kumar,Communist Party of India (Marxist),27482,95,27577,2.85
2,Upendra Kushwaha,Rashtriya Lok Samta Party,265891,737,266628,27.51
3,Navin Kumar,Bahujan Samaj Party,9655,44,9699,1
4,Nityanand Rai,Bharatiya Janata Party,542341,1565,543906,56.11
5,Dr. Ajay Singh Almust,Rashtriya Samta Party (Secular),10050,1,10051,1.04
6,Amrendra Kumar Yadav,Pragatishil Samajwadi Party (Lohia),2181,5,2186,0.23
7,A M Izharul Haque,Sathi Aur Aapka Faisala Party,1840,2,1842,0.19
8,Kumar Gaurav,Jai Prakash Janata Dal,2363,4,2367,0.24
9,Jay Narayan Sah,Bajjikanchal Vikas Party,4722,2,4724,0.49
10,Manoj Kumar,Janta Raj Vikas Party,2362,2,2364,0.24
11,Raj Kumar Chauhan,Bihar Lok Nirman Dal,4237,4,4241,0.44
12,Lalan Kumar Roy,Baliraja Party,7534,1,7535,0.78
13,Allamaa Shiblee Nomanee Halami,Independent,16357,2,16359,1.69
14,Pranav Kumar,Independent,6073,1,6074,0.63
15,Mamta Kumari,Independent,23582,8,23590,2.43
16,MD. Anwar,Independent,13933,1,13934,1.44
17,Ramashray Thakur,Independent,4940,2,4942,0.51
18,Sudhir Kumar Ray,Independent,6831,0,6831,0.7
19,NOTA,None of the Above,14405,29,14434,1.49
,Total, ,966779,2505,969284,
