SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Raghuvansh Prasad Singh,Rashtriya Janata Dal,332707,924,333631,31.04
2,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,566707,1508,568215,52.87
3,Shankar Mahto,Bahujan Samaj Party,14269,82,14351,1.34
4,Amit Vikram,Jantantrik Vikas Party,4530,1,4531,0.42
5,Dhanvanti Devi,Lok Chetna Dal,2380,4,2384,0.22
6,Naresh Ram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3318,9,3327,0.31
7,Balak Nath Sahani,Rashtriya mahan Gantantra Party,2047,8,2055,0.19
8,Rameshwar Sah,Rashtriya Pragati Party,2714,4,2718,0.25
9,Reshami Devi,Bajjikanchal Vikas Party,3764,3,3767,0.35
10,Vidya Bhushan,Sapaks Party,3975,3,3978,0.37
11,Satish Kumar Mishra,Rashtriya Jansambhavna Party,6512,6,6518,0.61
12,Sushma Kumari,Garib Janshakti Party,5747,4,5751,0.54
13,Abhay Kumar Sharma,Independent,8849,4,8853,0.82
14,Arvind Kumar Singh,Independent,9212,6,9218,0.86
15,Abha Rai,Independent,27496,1,27497,2.56
16,Ismohamad alias Md. Munna,Independent,21855,2,21857,2.03
17,Pankaj Kumar,Independent,11979,2,11981,1.11
18,Rinkoo Devi,Independent,16734,4,16738,1.56
19,Laljee Kumar Rakesh,Independent,5535,0,5535,0.52
20,Beena Devi (W/o Ajit Kumar Ray),Independent,3249,5,3254,0.3
21,Sudha Rani,Independent,2684,7,2691,0.25
22,Suresh Kumar Gupta,Independent,6662,1,6663,0.62
23,NOTA,None of the Above,9176,41,9217,0.86
,Total, ,1072101,2629,1074730,
