SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ATAL SHRIVASTAV,Indian National Congress,492185,611,492796,40.75
2,ARUN SAO,Bharatiya Janata Party,633268,1291,634559,52.47
3,UTTAM DAS GUROO GOSAI,Bahujan Samaj Party,21088,92,21180,1.75
4,NAND KISHORE RAJ,Gondvana Gantantra Party,5242,17,5259,0.43
5,POORAN LAL CHHABARIYA,Swabhiman Party,964,2,966,0.08
6,YAMAN BANJARE,Bhartiya Kisan Party,892,4,896,0.07
7,RAMKUMAR GHATLAHARE,Bhartiya Lokmat Rashtrwadi Party,823,3,826,0.07
8,EG. RAMFAL MANDREY,Ambedkarite Party of India,2478,4,2482,0.21
9,SHAMBHU PRASAD SHARMA,Bharat Bhoomi Party,1959,1,1960,0.16
10,SIDDHRAM LAHARE,Rashtriya Jansabha Party,1309,2,1311,0.11
11,SANTOSH KAUSHAL,Shivsena,1863,2,1865,0.15
12,"SANDEEP TIWARI ""RAJ""",Bhartiya Sarvjan Hitey Samaj Party,1851,1,1852,0.15
13,SANDEEP SINGH PORTE,Adhikar Vikas Party,2198,3,2201,0.18
14,ARUNKUMAR SAHU,Independent,3279,2,3281,0.27
15,AVISHEK EKKA,Independent,6782,0,6782,0.56
16,ENGINEER INDRASEN MOGRE,Independent,11982,0,11982,0.99
17,URMILA TIWARI,Independent,4979,0,4979,0.41
18,DUJ RAM SAHU,Independent,3504,1,3505,0.29
19,BALDAU PRASAD SAHU,Independent,800,1,801,0.07
20,RAJU KHATIK URPH LALU,Independent,543,0,543,0.04
21,VIDYA SAHU,Independent,744,4,748,0.06
22,SALIK RAM JOGI,Independent,645,0,645,0.05
23,HARISH CHANDRA SAHU,Independent,1257,1,1258,0.1
24,HARISH KUMAR MANDWA,Independent,946,0,946,0.08
25,HORILAL ANANT,Independent,1446,0,1446,0.12
26,NOTA,None of the Above,4356,9,4365,0.36
,Total, ,1207383,2051,1209434,
