SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GUHARAM AJGALLEY,Bharatiya Janata Party,570486,2304,572790,45.91
2,DAURAM RATNAKAR,Bahujan Samaj Party,130576,811,131387,10.53
3,RAVI PARASRAM BHARDWAJ,Indian National Congress,488051,1484,489535,39.24
4,ASHISH RATRE,Peoples Party of India (Democratic),6237,3,6240,0.5
5,NARESH KUMAR DAHARIYA,Rashtriya Gondvana Party,1847,3,1850,0.15
6,NARESH BAI JANGDE,Shivsena,1823,3,1826,0.15
7,NITESH KUMAR RATRE,Sunder Samaj Party,2565,3,2568,0.21
8,BHOJRAM BANJARE,Rashtriya Jansabha Party,1756,3,1759,0.14
9,LAKHAN LAL CHAUHAN ALIAS LAKHALA DANAV,Bahujan Mukti Party,1789,2,1791,0.14
10,VRINDA CHAUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,2184,3,2187,0.18
11,SHANTI KUMAR RATRE,Gondvana Gantantra Party,2777,7,2784,0.22
12,SITA CHAUHAN,Bhartiya Shakti Chetna Party,3865,11,3876,0.31
13,SEEMA AJAY,Ambedkarite Party of India,7830,1,7831,0.63
14,ASHARAM RATNAKAR,Independent,6465,2,6467,0.52
15,DR. UDAY RATRE,Independent,4777,1,4778,0.38
16,NOTA,None of the Above,9952,29,9981,0.8
,Total, ,1242980,4670,1247650,
