SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INNOCENT KUJUR,Bahujan Samaj Party,26491,105,26596,1.97
2,GOMATI SAI,Bharatiya Janata Party,656939,1396,658335,48.76
3,LALJEET SINGH RATHIA,Indian National Congress,590690,1618,592308,43.87
4,AMRIT TIRKEY,Pragatishil Samajwadi Party (Lohia),8847,40,8887,0.66
5,KRIPASHANKAR BHAGAT,Bhartiya Tribal Party,2568,23,2591,0.19
6,JAI SINGH SIDAR,Gondvana Gantantra Party,2533,12,2545,0.19
7,JYOTI BHAGAT,Kisan Mazdoor Sangharsh Party,1843,11,1854,0.14
8,RAVISHANKAR SIDAR,Ambedkarite Party of India,3999,7,4006,0.3
9,VIJAY LAKARA,Shivsena,3339,8,3347,0.25
10,VIR KUMAR TIGGA,Bahujan Mukti Party,2829,6,2835,0.21
11,TARIKA TARANGINI URAON,Independent,5697,16,5713,0.42
12,TEJRAM SIDAR,Independent,5655,1,5656,0.42
13,NAVAL KISHOR RATHIA,Independent,9556,4,9560,0.71
14,PRAKASH KUMAR URANW,Independent,10157,5,10162,0.75
15,NOTA,None of the Above,15720,9,15729,1.17
,Total, ,1346863,3261,1350124,
