SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Khilesh Kumar Sahu Alias Khileshwar,Bahujan Samaj Party,10520,77,10597,0.76
2,Pramod Dubey,Indian National Congress,488515,1149,489664,35.07
3,Sunil Kumar Soni,Bharatiya Janata Party,836211,1691,837902,60.01
4,Ajay Chakole,Gondvana Gantantra Party,4418,4,4422,0.32
5,Ikram Saifi,Ambedkarite Party of India,1493,2,1495,0.11
6,Chhabi Lal Kanwar,Bhartiya Shakti Chetna Party,812,5,817,0.06
7,Tameshwar Sahu,Bhartiya Kisan Party,762,0,762,0.05
8,Devki Dubey (Sandhya),Republican Party of India (A),787,1,788,0.06
9,Devendra Kumar Patil,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1469,0,1469,0.11
10,Banmali Chhura,Bharatiya Bahujan Party,1069,0,1069,0.08
11,Dr. Yogita Bajpai,Sarvodaya Bharat Party,1208,2,1210,0.09
12,Vijay Kumar Kurre,Rashtriya Jansabha Party,1742,2,1744,0.12
13,Advocate Shailendra Kumar Banjare,Shakti Sena (Bharat Desh),2801,1,2802,0.2
14,Santosh Yadu,Shivsena,9689,1,9690,0.69
15,Tarjan Jangde,Independent,6299,2,6301,0.45
16,Navin Gupta,Independent,5675,1,5676,0.41
17,Pravin Jain,Independent,1936,0,1936,0.14
18,Pritesh Pandey,Independent,3829,0,3829,0.27
19,Manish Shrivastav,Independent,4034,1,4035,0.29
20,Ramkrishna Verma,Independent,671,1,672,0.05
21,Ramdyal Dahariya,Independent,467,0,467,0.03
22,Rupesh Sahu,Independent,473,0,473,0.03
23,Shankar Lal Vardani,Independent,887,0,887,0.06
24,Sanju Kumar Yadav,Independent,1660,1,1661,0.12
25,Santosh Sahu,Independent,1588,2,1590,0.11
26,NOTA,None of the Above,4276,16,4292,0.31
,Total, ,1393291,2959,1396250,
