SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Khel Sai Singh,Indian National Congress,504927,911,505838,39.5
2,Maya Bhagat,Bahujan Samaj Party,18489,45,18534,1.45
3,Renuka Singh Saruta,Bharatiya Janata Party,662428,1283,663711,51.82
4,Asha Devi Poya,Gondvana Gantantra Party,24439,24,24463,1.91
5,Guman Singh Poya,Ambedkarite Party of India,5386,2,5388,0.42
6,Chandradeep Singh Korcho,Rashtriya Jansabha Party,3711,1,3712,0.29
7,Pawan Kumar Nag,Bahujan Mukti Party,4141,2,4143,0.32
8,Mohan Singh Tekam,Shivsena,7158,3,7161,0.56
9,Ramnath Cherwa,Shoshit Samaj Dal,9056,4,9060,0.71
10,Palsay Uranv,Independent,9404,10,9414,0.74
11,NOTA,None of the Above,29253,12,29265,2.29
,Total, ,1278392,2297,1280689,
