SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TOKIYA PRABHUBHAI,Indian National Congress,8608,0,8608,4.33
2,DONGARKAR ISHWARBHAI GOPJIBHAI,Bahujan Samaj Party,948,0,948,0.48
3,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,81384,36,81420,40.92
4,JANATHIYA PRAVINBHAI LADAKBHAI,Bahujan Mukti Party,1596,0,1596,0.8
5,PATEL ANKITA AMRUTBHAI,Shivsena,4000,0,4000,2.01
6,BHIKHLABHAI VANSABHAI KHULAT,Bhartiya Tribal Party,843,0,843,0.42
7,HALPATI RAJESHBHAI BHANABHAI,Navsarjan Bharat Party,1160,0,1160,0.58
8,KURADA DEEPAKBHAI,Independent,3630,0,3630,1.82
9,DELKAR MOHANBHAI SANJIBHAI,Independent,90399,22,90421,45.44
10,DAYAT MANOJ RANCHOD,Independent,2287,0,2287,1.15
11,PATEL DHIRUBHAI CHHOTUBHAI,Independent,1120,0,1120,0.56
12,NOTA,None of the Above,2950,0,2950,1.48
,Total, ,198925,58,198983,
