SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janata Party,527593,1442,529035,58.19
2,Chauhan Ravjibhai Mulabhai,Bahujan Samaj Party,9664,27,9691,1.07
3,Paresh Dhanani,Indian National Congress,326781,823,327604,36.03
4,Dhapa Dharamshibhai Ramjibhai,Vyavastha Parivartan Party,4731,16,4747,0.52
5,R.S. Gosai,Independent,1762,1,1763,0.19
6,Chauhan Dayabhai Bhagvanbhai,Independent,1551,2,1553,0.17
7,Jerambhai R. Parmar,Independent,982,4,986,0.11
8,Dayala Shubhashbhai Parabatbhai,Independent,1411,2,1413,0.16
9,Nathalal Sukhadiya,Independent,2204,3,2207,0.24
10,Mehta Nanalal Kalidas,Independent,2332,4,2336,0.26
11,Valodara Vrajlal Jivabhai,Independent,5331,1,5332,0.59
12,Himmat Bagda,Independent,4926,7,4933,0.54
13,NOTA,None of the Above,17513,54,17567,1.93
,Total, ,906781,2386,909167,
