SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PATEL MITESH RAMESHBHAI (BAKABHAI),Bharatiya Janata Party,631581,1516,633097,57.1
2,BHARATBHAI MADHAVSINH SOLANKI,Indian National Congress,434006,1373,435379,39.27
3,VANKAR RAMESHBHAI VALJIBHAI,Bahujan Samaj Party,5935,24,5959,0.54
4,BHATT ASHISHKUMAR MANOJKUMAR,Akhil Bharatiya Jan Sangh,1032,2,1034,0.09
5,BHATT SUNILKUMAR NARENDRABHAI,Right to Recall Party,1154,1,1155,0.1
6,KEYUR PRAVINBHAI PATEL (BAKABHAI),Independent,966,0,966,0.09
7,CHAVDA KAUSHIKKUMAR,Independent,1063,1,1064,0.1
8,BHARATBHAI SOLANKI,Independent,2451,9,2460,0.22
9,SANTOLKUMAR MAHIJIBHAI PATEL (BAKABHAI),Independent,2300,1,2301,0.21
10,HITENDRASINH MOHANSINH PARMAR,Independent,6854,0,6854,0.62
11,NOTA,None of the Above,18365,27,18392,1.66
,Total, ,1105707,2954,1108661,
