SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TEJABHAI NETHIBHAI RABARI,Bahujan Samaj Party,11034,54,11088,1.01
2,PARTHIBHAI GALBABHAI BHATOL,Indian National Congress,309446,1366,310812,28.2
3,PARBATBHAI SAVABHAI PATEL,Bharatiya Janata Party,675650,3458,679108,61.62
4,THAKOR MELAJI MADARSINH,Garvi Gujarat Party,6799,10,6809,0.62
5,CHARAMTA BHARATKUMAR KHEMABHAI,Independent,1818,6,1824,0.17
6,DR. CHANDRA BEN,Independent,2252,9,2261,0.21
7,JAGDISHJI PARTHIJI DHARANI,Independent,1491,1,1492,0.14
8,THAKOR SWARUPJI SARDARJI,Independent,48516,118,48634,4.41
9,DESAI ISHVARBHAI MAHADEVBHAI,Independent,1704,5,1709,0.16
10,PADHIYAR BHARATKUMAR ISHVARLAL,Independent,1504,3,1507,0.14
11,PARMAR CHHAGANCHANDRARAJ DHANABHAI,Independent,2512,4,2516,0.23
12,PARSANI IBRAHIMBHAI PIRABHAI,Independent,3678,1,3679,0.33
13,PUROHIT SHYAMABEN NARANBHAI,Independent,11064,5,11069,1
14,MADHU NIRUPABEN,Independent,6844,1,6845,0.62
15,NOTA,None of the Above,12658,70,12728,1.15
,Total, ,1096970,5111,1102081,
