SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,Indian National Congress,524474,2352,526826,39.08
2,DINESHBHAI GULABBHAI CHAUDHARI,Bahujan Samaj Party,9504,16,9520,0.71
3,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,740448,1825,742273,55.06
4,GAMIT KAUSHIKBHAI VIRENDRABHAI,Sardar Vallabhbhai Patel Party,5340,3,5343,0.4
5,GAMIT MOHANBHAI BABUBHAI,Bahujan Republican Socialist Party,1691,1,1692,0.13
6,GAMIT SURESHBHAI BABUBHAI,Svatantra Bharat Satyagrah Party,1559,13,1572,0.12
7,VASAVA UTTAMBHAI SOMABHAI,Bhartiya Tribal Party,11713,68,11781,0.87
8,ARVINDBHAI BHANABHAI RATHOD,Independent,1727,3,1730,0.13
9,UMEDBHAI BHIMSINGBHAI GAMIT,Independent,5459,10,5469,0.41
10,PRAGNESHBHAI RATILAL CHAUDHARI,Independent,3824,4,3828,0.28
11,VASAVA FATESINGBHAI VAHRIYABHAI,Independent,8978,1,8979,0.67
12,SURESHBHAI MOTIYABHAI CHAUDHARI,Independent,6111,0,6111,0.45
13,NOTA,None of the Above,22823,91,22914,1.7
,Total, ,1343651,4387,1348038,
