SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,635374,2421,637795,55.47
2,Vasava Rajeshbhai Chimanbhai,Bahujan Samaj Party,6224,11,6235,0.54
3,Sherkhan Abdulsakur Pathan,Indian National Congress,302890,691,303581,26.4
4,Chhotubhai Amarsinh Vasava,Bhartiya Tribal Party,143093,990,144083,12.53
5,Pathan Salimkhan Sadikkhan,Sanyukt Vikas Party,2133,2,2135,0.19
6,Vashi Narendrasinh Randhirsinh,Yuva Jan Jagriti Party,808,0,808,0.07
7,Sabbirbhai Musabhai Patel,Apna Desh Party,826,0,826,0.07
8,Sukhdev Bhikhabhai Vasava,Bahujan Mukti Party,1218,3,1221,0.11
9,Ashokchandra Bhikhubhai Parmar,Independent,2845,6,2851,0.25
10,Jitendra Parmar (Jitu Chowkidar),Independent,1323,4,1327,0.12
11,Patel Imran Umarjibhai,Independent,1510,0,1510,0.13
12,Mukhtiyar Abdulrahim Shaikh (BansiMama),Independent,2067,0,2067,0.18
13,Vasava Navinbhai Himmatbhai,Independent,8148,7,8155,0.71
14,Vikramsinh Dalsukhbhai Gohil,Independent,3831,2,3833,0.33
15,Sapa Rafikbhai Sulemanbhai,Independent,3829,0,3829,0.33
16,Sindha Kiritsinh Alias Jalamsinh Nathubava,Independent,15110,0,15110,1.31
17,Solanki Rajeshbhai Lallubhai,Independent,8037,1,8038,0.7
18,NOTA,None of the Above,6244,77,6321,0.55
,Total, ,1145510,4215,1149725,
