SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RATHVA GITABEN VAJESINGBHAI,Bharatiya Janata Party,761472,2973,764445,62.03
2,RATHVA FURKANBHAI BALAJIBHAI,Bahujan Samaj Party,14948,16,14964,1.21
3,RATHAVA RANJITSINH MOHANSINH,Indian National Congress,384059,2443,386502,31.36
4,VASAVA RAJESH SOMABHAI,Bhartiya Tribal Party,10519,113,10632,0.86
5,UMESH JANGUBHAI RATHAWA,Independent,3699,11,3710,0.3
6,PRAVINBHAI DHURSINGBHAI RATHVA,Independent,3664,5,3669,0.3
7,RATHVA BHAVSINGBHAI NAMARSINGBHAI,Independent,6884,3,6887,0.56
8,RATHVA MAGANBHAI CHATHIYABHAI,Independent,8781,1,8782,0.71
9,NOTA,None of the Above,32816,52,32868,2.67
,Total, ,1226842,5617,1232459,
