SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,631753,5281,637034,62.26
2,NARESH NARANBHAI MAHESHWARI,Indian National Congress,329229,2292,331521,32.4
3,LAKHUBHAI VAGHELA,Bahujan Samaj Party,7394,54,7448,0.73
4,CHAVDA PRAVINBHAI CHANABHAI,Hindusthan Nirman Dal,2147,8,2155,0.21
5,DHIRUBHAI BABULAL SHRIMALI,New All India Congress Party,1590,6,1596,0.16
6,MAHESHWARI DEVJIBHAI VACHHIYABHAI,Bahujan Mukti Party,10004,94,10098,0.99
7,SONDARVA BALUBEN MAHESHBHAI,Rashtriya Power Party,1682,17,1699,0.17
8,BABULAL AMARSHI VAGHELA,Independent,2133,8,2141,0.21
9,MARU MANISHA BHARAT,Independent,4962,22,4984,0.49
10,MEGHVAL BHIMJIBHAI BHIKHABHAI,Independent,5750,11,5761,0.56
11,NOTA,None of the Above,18551,210,18761,1.83
,Total, ,1015195,8003,1023198,
