SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHAUHAN PRAHLADBHAI NATTHUBHAI,Bahujan Samaj Party,9449,63,9512,0.88
2,A. J. Patel,Indian National Congress,376193,1813,378006,34.94
3,SHARDABEN ANILBHAI PATEL,Bharatiya Janata Party,656686,2839,659525,60.96
4,CHAUDHARI SENDHABHAI ABHERAJBHAI,Bahujan Mukti Party,4556,29,4585,0.42
5,PRAJAPATI KANUBHAI AMATHARAM,Bharatiya Rashtravadi Paksha,987,5,992,0.09
6,BAROT KULDIPKUMAR BHARATKUMAR,Yuva Jan Jagriti Party,913,6,919,0.08
7,THAKOR JAYANTIJI CHUNTHAJI,Independent,1467,16,1483,0.14
8,THAKOR BIPINKUMAR SHANKARJI,Independent,2101,10,2111,0.2
9,THAKOR MAYURKUMAR RUPSINGJI,Independent,1392,5,1397,0.13
10,PATEL ANITABEN RAMABHAI,Independent,2114,5,2119,0.2
11,PATEL AMBALAL TALASHIBHAI,Independent,3999,2,4001,0.37
12,RATHOD GULABSINH DURSINH,Independent,5211,10,5221,0.48
13,NOTA,None of the Above,11979,88,12067,1.12
,Total, ,1077047,4891,1081938,
