SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KAGATHARA LALITBHAI,Indian National Congress,388405,1833,390238,32.65
2,KUNDARIA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,755296,3349,758645,63.47
3,VIJAY PARMAR,Bahujan Samaj Party,15288,100,15388,1.29
4,AMARDAS B. DESANI,Independent,1383,9,1392,0.12
5,CHITRODA NATHALAL (CHITRODA SIR),Independent,1164,5,1169,0.1
6,J. B. CHAUHAN,Independent,968,2,970,0.08
7,CHAUHAN MANOJBHAI PRAVINBHAI,Independent,1140,6,1146,0.1
8,JASPALSINH MAHAVEERSINH TOMAR,Independent,1587,9,1596,0.13
9,DENGADA PRAVINBHAI MEGHJIBHAI,Independent,2164,2,2166,0.18
10,RAKESH PATEL,Independent,4237,6,4243,0.35
11,NOTA,None of the Above,18080,238,18318,1.53
,Total, ,1189712,5559,1195271,
