SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,THAKOR RAJENDRASINH SHIVSINH,Indian National Congress,428836,4161,432997,35.54
2,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,696498,5486,701984,57.62
3,VINODBHAI JETHABHAI MESARIYA,Bahujan Samaj Party,7798,114,7912,0.65
4,KHARADI DHARMENDRASINGH SAMSUBHAI,Bhartiya Tribal Party,2687,146,2833,0.23
5,JADEJA INDRAVIJAYSINH KALYANSINH,Yuva Jan Jagriti Party,1897,23,1920,0.16
6,NARESHKUMAR RAMESHBHAI PATEL,Bharatiya National Janta Dal,1437,10,1447,0.12
7,PATEL JAYANTIBHAI SHAMJIBHAI,Hindusthan Nirman Dal,2231,16,2247,0.18
8,MAYURSINH VANRAJSINH ZALA,Rashtra Vikas Zumbes Party,1268,22,1290,0.11
9,LAXMISHANKAR MADHUSUDAN JOSHI,Jan Satya Path Party,1320,15,1335,0.11
10,VIKRAMBHAI BAHECHARBHAI MAKWANA,Garvi Gujarat Party,2170,19,2189,0.18
11,KALABHAI BABABHAI PARMAR,Independent,1500,10,1510,0.12
12,ZALA DALPATSINH MOTISINH,Independent,1877,7,1884,0.15
13,PATEL KIRITKUMAR BABARBHAI,Independent,2722,5,2727,0.22
14,PATEL KESHAVLAL GANGARAMBHAI,Independent,4924,5,4929,0.4
15,PATHAN AAIYUBKHAN AJABKHAN,Independent,9174,3,9177,0.75
16,RAVAL RAJUBHAI PUNJABHAI,Independent,17154,21,17175,1.41
17,LATA BABUBHAI NATHAJI,Independent,7747,30,7777,0.64
18,LUHAR HAFIJHUSEN HAJINURMAHMAD,Independent,5829,6,5835,0.48
19,SANGHANI MUSTAKBHAI JAMALBHAI,Independent,2659,2,2661,0.22
20,SOLANKI MAGANBHAI LAKHABHAI,Independent,2410,12,2422,0.2
21,NOTA,None of the Above,6031,72,6103,0.5
,Total, ,1208169,10185,1218354,
