SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,351610,2797,354407,32.88
2,PARMAR GHOGHAJIBHAI KANJIBHAI,Nationalist Congress Party,8151,113,8264,0.77
3,Dr. MUNJAPARA MAHENDRABHAI,Bharatiya Janata Party,626957,4887,631844,58.63
4,ADVOCATE SHAILESH N. SOLANKI,Bahujan Samaj Party,12662,198,12860,1.19
5,THAKOR JAGUJI KUNVARJI URFE J.K. THAKOR,Vyavastha Parivartan Party,1453,22,1475,0.14
6,DEKAVADIYA DARJIBHAI MAGANBHAI (PATIDAR),Hindusthan Nirman Dal,1419,14,1433,0.13
7,OGHADBHAI SAGARAMBHAI MER,Independent,814,3,817,0.08
8,KAMABHAI PETHABHAI MAKWANA,Independent,876,15,891,0.08
9,KARIMBHAI ADAMBHAI URFE BABABHAI,Independent,1120,14,1134,0.11
10,KALUBHAI MALUBHAI VADALIYA,Independent,1131,2,1133,0.11
11,KOLI PATEL LALJIBHAI CHATURBHAI,Independent,4625,41,4666,0.43
12,KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,Independent,1421,9,1430,0.13
13,GOLTAR BHAGVANBHAI MAIYABHAI,Independent,2456,15,2471,0.23
14,JARGELA HASANBHAI ABDULBHAI,Independent,3101,9,3110,0.29
15,DANIYA ANIRUDDHBHAI GANDABHAI,Independent,3046,1,3047,0.28
16,DOST MER,Independent,11097,6,11103,1.03
17,NARESH MAKWANA,Independent,6636,1,6637,0.62
18,PATEL BALDEVBHAI JIVABHAI,Independent,2376,1,2377,0.22
19,BHATHANIYA FARIDBHAI AMIJIBHAI,Independent,2887,0,2887,0.27
20,BHAVANBHAI DEVJIBHAI VORA,Independent,3814,2,3816,0.35
21,BHANJIBHAI SHEKHAVA,Independent,971,11,982,0.09
22,BHUPATBHAI LALJIBHAI SOLANKI,Independent,1329,21,1350,0.13
23,MAKWANA DALPATBHAI LAGHARBHAI,Independent,743,3,746,0.07
24,RATHOD ASHOKBHAI VITTHALBHAI,Independent,1058,3,1061,0.1
25,RATHOD ANANDBHAI PACHANBHAI,Independent,897,4,901,0.08
26,VAGHELA DAHYABHAI KHENGARBHAI,Independent,633,2,635,0.06
27,VAGHELA PRAKASHBHAI BACHUBHAI,Independent,694,3,697,0.06
28,SARDARKHAN MALEK,Independent,993,0,993,0.09
29,SALIMBHAI SHAHBUDINBHAI PATHAN,Independent,1153,0,1153,0.11
30,SAPRA VIPUL R.,Independent,2615,0,2615,0.24
31,HANIFBHAI KAYABHAI KATIYA,Independent,2003,1,2004,0.19
32,NOTA,None of the Above,8510,277,8787,0.82
,Total, ,1069251,8475,1077726,
