SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRASHANT PATEL (TIKO),Indian National Congress,293080,1462,294542,24.1
2,ROHIT MADHUSUDAN MOHANBHAI,Bahujan Samaj Party,7429,29,7458,0.61
3,RANJANBEN BHATT,Bharatiya Janata Party,880905,2814,883719,72.3
4,GOHIL RINKU,Yuva Jan Jagriti Party,3805,6,3811,0.31
5,JAT SUBHAS SINGH BRIJLAL,All India Hindustan Congress Party,1093,4,1097,0.09
6,TAPAN DASGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),888,1,889,0.07
7,MOHSIMMIYA (SAIYAD MOHSIN BAPU),Bahujan Mukti Party,871,1,872,0.07
8,LION DR. YASINALI POLRA,New All India Congress Party,1791,4,1795,0.15
9,SANTOSH S. SOLANKI,Bhartiya Manavadhikaar Federal Party,856,2,858,0.07
10,NIMESH PATEL (KAMROL),Independent,947,16,963,0.08
11,PATEL KALIDAS (KALIDAS M. PATEL ALIAS NAPOLEON),Independent,1429,2,1431,0.12
12,DR. RAHUL VASUDEVBHAI VYAS,Independent,3457,0,3457,0.28
13,SINDHI MAHEBUBKHAN YUSUFKHAN (VAKIL),Independent,4454,3,4457,0.36
14,NOTA,None of the Above,16901,98,16999,1.39
,Total, ,1217906,4442,1222348,
