SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KISHORBHAI RAMANBHAI PATEL (Rajubhai),Bahujan Samaj Party,15344,15,15359,1.22
2,CHAUDHARI JITUBHAI HARJIBHAI,Indian National Congress,416310,1873,418183,33.18
3,Dr.K.C.PATEL,Bharatiya Janata Party,770442,1538,771980,61.25
4,PATEL NARESHBHAI BABUBHAI,Sardar Vallabhbhai Patel Party,7173,5,7178,0.57
5,PATEL PANKAJBHAI LALLUBHAI,Bhartiya Tribal Party,9488,48,9536,0.76
6,BABUBHAI CHHAGANBHAI TALAVIYA,Bahujan Mukti Party,2557,0,2557,0.2
7,GAURANGBHAI RAMESHBHAI PATEL,Independent,2983,14,2997,0.24
8,GANVIT JAYENDRABHAI LAXMANBHAI,Independent,5817,2,5819,0.46
9,PATEL UMESHBHAI MAGANBHAI,Independent,7460,1,7461,0.59
10,NOTA,None of the Above,19264,43,19307,1.53
,Total, ,1256838,3539,1260377,
