SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BRIJENDRA SINGH,Bharatiya Janata Party,599951,3338,603289,51.13
2,BHAVYA BISHNOI,Indian National Congress,183960,409,184369,15.63
3,SUKHBIR SINGH,Communist Party of India (Marxist),9136,14,9150,0.78
4,SURINDER SHARMA,Bahujan Samaj Party,45090,100,45190,3.83
5,SURESH KOTH,Indian National Lok Dal,9739,22,9761,0.83
6,JAI BHAGWAN,Bahujan Mukti Party,2090,3,2093,0.18
7,DARA SINGH,Bhartiya Janraj Party,1248,21,1269,0.11
8,DUSHYANT CHAUTALA,Jannayak Janta Party,288425,796,289221,24.51
9,PAWAN FOUJI,Rashtriya Bhagidari Samaj Party,1769,8,1777,0.15
10,VIKAS GODARA,Rashtriya Lokswaraj Party,891,2,893,0.08
11,SHASHI BHARAT BHUSHAN,Pragatishil Samajwadi Party (Lohia),416,1,417,0.04
12,SANDEEP,Bharat Prabhat Party,516,5,521,0.04
13,KAKA SAHIL THAKRAL,Sapaks Party,770,0,770,0.07
14,ANOOP MEHTA,Independent,997,1,998,0.08
15,ATAM PARKASH,Independent,1207,0,1207,0.1
16,KULDEEP BHUKKAL,Independent,5330,4,5334,0.45
17,DEEPAK,Independent,5867,0,5867,0.5
18,PYARELAL CHOHAN ADVOCATE,Independent,930,0,930,0.08
19,PARDEEP KUMAR,Independent,521,1,522,0.04
20,BAJRANG VATS,Independent,803,5,808,0.07
21,BIJENDER,Independent,455,4,459,0.04
22,MANGE RAM VERMA,Independent,991,2,993,0.08
23,SHAMSHER SINGH,Independent,485,0,485,0.04
24,SALEEM DIN,Independent,6337,2,6339,0.54
25,SUDHIR GODARA,Independent,3757,0,3757,0.32
26,SUMIT KUMAR,Independent,492,1,493,0.04
27,NOTA,None of the Above,2927,30,2957,0.25
,Total, ,1175100,4769,1179869,
