SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kuldip Sharma,Indian National Congress,255163,289,255452,19.64
2,Dharmvir Padha,Indian National Lok Dal,15748,49,15797,1.21
3,Pankaj,Bahujan Samaj Party,67091,92,67183,5.17
4,Sanjay Bhatia,Bharatiya Janata Party,909432,2162,911594,70.08
5,Ankur,Aapki Apni Party (Peoples),2785,4,2789,0.21
6,Anil Kumar,Jai Jawan Jai Kisan Party,1235,8,1243,0.1
7,Ishwar Chand Salwan,Aadarsh Janata Sewa Party,545,6,551,0.04
8,Ishwar Sharma,Rashtriya Lokswaraj Party,808,0,808,0.06
9,Kitab Singh,Peoples Party of India (Democratic),2117,1,2118,0.16
10,Krishan Kumar Aggarwal,Aam Aadmi Party,22042,42,22084,1.7
11,Tilak Raj,Rashtriya Garib Dal,774,0,774,0.06
12,Dinesh Sharma,Shivsena,1723,8,1731,0.13
13,Naresh Kumar,Pragatishil Samajwadi Party (Lohia),2337,3,2340,0.18
14,Vicky Chinalya,Samajik Nyaya Party,3316,2,3318,0.26
15,Jagdish,Independent,1184,2,1186,0.09
16,Parmod Sharma,Independent,6287,4,6291,0.48
17,NOTA,None of the Above,5439,24,5463,0.42
,Total, ,1298026,2696,1300722,
