SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARVIND KUMAR SHARMA,Bharatiya Janata Party,566242,7603,573845,47.01
2,KISHAN LAL PANCHAL,Bahujan Samaj Party,38163,201,38364,3.14
3,DEEPENDER SINGH HOODA,Indian National Congress,563606,2736,566342,46.4
4,DHARAMVIR,Indian National Lok Dal,7122,36,7158,0.59
5,IMRAN,Bharat Prabhat Party,357,12,369,0.03
6,JAIKARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1023,7,1030,0.08
7,PRADEEP KUMAR DESWAL,Jannayak Janta Party,21050,161,21211,1.74
8,MANJU DEVI,Pragatishil Samajwadi Party (Lohia),295,18,313,0.03
9,RAJBIR,Aapki Apni Party (Peoples),175,8,183,0.01
10,SUKHBIR,Dalit Soshit Pichhara Varg Adhikar Dal,416,6,422,0.03
11,Ashok Kumar,Independent,222,3,225,0.02
12,INDERJEET,Independent,251,26,277,0.02
13,Krishan,Independent,336,2,338,0.03
14,PARVEEN KUMAR,Independent,1099,2,1101,0.09
15,RAM KISHAN SAIN,Independent,761,6,767,0.06
16,RAMBIR,Independent,2444,3,2447,0.2
17,VINAY,Independent,2737,2,2739,0.22
18,SATYAVIR SINGH,Independent,436,3,439,0.04
19,NOTA,None of the Above,2939,62,3001,0.25
,Total, ,1209674,10897,1220571,
