SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ashok Tanwar,Indian National Congress,404099,334,404433,29.53
2,Charanjeet Singh Rori,Indian National Lok Dal,87979,114,88093,6.43
3,Janak Raj Atwal,Bahujan Samaj Party,25080,27,25107,1.83
4,Sunita Duggal,Bharatiya Janata Party,712877,1474,714351,52.16
5,Ankur Gill,Shivsena,3743,6,3749,0.27
6,Angrej Singh Alahi,Rashtriya Lokswaraj Party,1933,5,1938,0.14
7,Jaswant,Bhartiya Shakti Chetna Party,1536,0,1536,0.11
8,Nirmal Singh Malri,Jannayak Janta Party,95792,122,95914,7
9,Brij Pal Balmiki,Bahujan Mukti Party,1514,0,1514,0.11
10,Rajesh Chaubara,Revolutionary Marxist Party of India,1848,3,1851,0.14
11,Dr. Rajesh Mehandia,Peoples Party of India (Democratic),3037,1,3038,0.22
12,Hira Singh Hanspur,Pragatishil Samajwadi Party (Lohia),1947,4,1951,0.14
13,Kashmir Chand Oad,Independent,4052,4,4056,0.3
14,Dalip Luna,Independent,1319,0,1319,0.1
15,Deepak,Independent,1543,0,1543,0.11
16,Rajender Sirsa,Independent,6447,1,6448,0.47
17,Vinod Kumar Sirkiband (Gihara),Independent,3839,0,3839,0.28
18,Virender Singh,Independent,877,1,878,0.06
19,Surender Kumar,Independent,1186,0,1186,0.09
20,Surajmal Athwal,Independent,2403,0,2403,0.18
21,NOTA,None of the Above,4319,20,4339,0.32
,Total, ,1367370,2116,1369486,
