SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANURAG SINGH THAKUR,Bharatiya Janata Party,668812,13880,682692,69.04
2,DESH RAJ,Bahujan Samaj Party,6974,121,7095,0.72
3,RAM LAL THAKUR,Indian National Congress,281000,2120,283120,28.63
4,KRISHAN GOPAL,Satya Bahumat Party,2264,55,2319,0.23
5,TULSI RAM SHARMA,All India Forward Bloc,766,9,775,0.08
6,RAM SINGH SHUKLA,Bahujan Mukti Party,462,11,473,0.05
7,ASHISH KUMAR,Independent,320,10,330,0.03
8,ASHOK SHARMA,Independent,400,12,412,0.04
9,PARVEEN THAKUR,Independent,695,4,699,0.07
10,RADHA KRISHAN NAROTRA,Independent,1413,7,1420,0.14
11,VIKASH KUMAR,Independent,1394,10,1404,0.14
12,NOTA,None of the Above,7865,161,8026,0.81
,Total, ,972365,16400,988765,
