SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kishan Kapoor,Bharatiya Janata Party,712133,13085,725218,72.02
2,Dr. Kehar Singh,Bahujan Samaj Party,8719,147,8866,0.88
3,Pawan Kajal,Indian National Congress,245474,2121,247595,24.59
4,Prem Chand Vishvakarma,Navbharat Ekta Dal,2355,16,2371,0.24
5,Dr. Swaroop Singh Rana,Swabhiman Party,945,14,959,0.1
6,Subhash Chand,Himachal Jan Kranti Party,950,20,970,0.1
7,Chander Bhan (Baabla),Independent,555,9,564,0.06
8,Col. Narinder Pathania,Independent,861,47,908,0.09
9,Nisha Katoch,Independent,1297,101,1398,0.14
10,Bachan Singh Rana,Independent,2233,7,2240,0.22
11,Dr. Sanjiv Guleria,Independent,4425,148,4573,0.45
12,NOTA,None of the Above,11195,132,11327,1.12
,Total, ,991142,15847,1006989,
