SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AASHRAY SHARMA,Indian National Congress,240184,1546,241730,25.68
2,DALEEP SINGH KAITH,Communist Party of India (Marxist),14742,96,14838,1.58
3,RAM SWAROOP SHARMA,Bharatiya Janata Party,638441,8748,647189,68.75
4,SES RAM,Bahujan Samaj Party,9003,57,9060,0.96
5,KARTAR CHAND,Swabhiman Party,874,6,880,0.09
6,KHEM CHAND,Peoples Party of India (Democratic),508,3,511,0.05
7,CHANDERMANI,All India Forward Bloc,496,9,505,0.05
8,MEHAR SINGH,Rashtriya Azad Manch,579,3,582,0.06
9,RAJENDER SURYAVANSHI,Ambedkarite Party of India,1865,8,1873,0.2
10,SHIV LAL THAKUR,Bhartiya Shakti Chetna Party,714,37,751,0.08
11,GUMAN SINGH,Independent,2312,32,2344,0.25
12,GHANSHYAM CHAND THAKUR,Independent,773,2,775,0.08
13,COL. THAKUR SINGH,Independent,1584,12,1596,0.17
14,DEV RAJ BHARDWAJ,Independent,3653,0,3653,0.39
15,DHARMENDER SINGH THAKUR,Independent,1856,4,1860,0.2
16,BRIJ GOPAL,Independent,4085,2,4087,0.43
17,SUBHASH MOHAN SNEHI,Independent,3835,4,3839,0.41
18,NOTA,None of the Above,5187,111,5298,0.56
,Total, ,930691,10680,941371,
